field,value,nickname
vehicle_name,truck-801,
vehicle_name,truck-802,
vehicle_name,truck-803,
vehicle_name,truck-804,
vehicle_name,truck-805,
vehicle_name,truck-806,
vehicle_name,truck-807,
vehicle_name,truck-808,
vehicle_name,truck-809,
vehicle_name,truck-810,
vehicle_name,truck-811,
vehicle_name,truck-812,
vehicle_name,truck-813,
vehicle_name,truck-814,
vehicle_name,truck-815,
vehicle_name,truck-816,
vehicle_name,truck-817,
vehicle_name,truck-818,
vehicle_name,truck-819,
vehicle_name,truck-820,
vehicle_name,truck-821,
vehicle_name,truck-822,
vehicle_name,truck-823,
vehicle_name,truck-824,
vehicle_name,truck-825,
vehicle_name,truck-826,
vehicle_name,truck-827,
vehicle_name,truck-828,
vehicle_name,truck-829,
vehicle_name,truck-830,
launch_config,etc_sds_road_readiness,
launch_config,sds_road_readiness,
launch_config,secondary_road_readiness,
launch_config,mrm_arbiter_integration_test,
map_key,crows_landing,
map_key,jp_tokyo,
map_key,jp_zone_53,
map_key,jp_zone_54,
map_key,shirosato_zone_54,Shirosato Zone 54 (Main)
map_key,shirosato_reversed_zone_54,
map_key,sunnyvale_office,
map_key,usa_zone_10,
map_key,walnut_creek,
route,shoreline_terminal_10kph,Shoreline Terminal - Slow
route,shoreline_terminal_25kph,Shoreline Terminal - Fast
route,mountain_pass_35kph,Mountain Pass
route,downtown_loop_20kph,Downtown Loop
route,harbor_bridge_15kph,
route,crows_landing_anticw_inner_loop,
route,crows_landing_anticw_merge_in_loop,
route,crows_landing_anticw_outer_loop,
route,crows_landing_cw_inner_lc_loop,
route,crows_landing_cw_inner_loop,
route,crows_landing_cw_outer_lc_loop,
route,crows_landing_cw_outer_loop,
